# IODP371 site U1506 synthetic model data
#Synthetic model				
depth_m_bsf	velocity_m/s	density_Mg/m3	two-way-travel-time_(ms)	impedance
0.0000	1635.0000	1.6700	0.0013	2.7305
13.8600	1635.1200	1.6768	0.0170	2.7418
23.6600	1736.6400	1.6661	0.0286	2.8935
42.4900	1734.4800	1.6630	0.0503	2.8844
61.6100	1751.7600	1.6596	0.0723	2.9071
72.1200	1715.0400	1.6944	0.0844	2.9060
81.1100	1791.7200	1.7409	0.0947	3.1192
90.8100	1753.9200	1.7081	0.1056	2.9959
110.6800	1740.9600	1.7294	0.1283	3.0109
120.6200	1685.8800	1.7100	0.1399	2.8828
129.3000	1801.4400	1.7345	0.1499	3.1246
138.6100	1733.4000	1.7181	0.1604	2.9781
148.3600	1742.0400	1.7418	0.1717	3.0343
158.1000	1764.7200	1.7490	0.1828	3.0865
167.4800	1765.8000	1.7263	0.1934	3.0483
178.4700	1758.2400	1.7677	0.2059	3.1081
186.6200	1834.9200	1.7703	0.2149	3.2484
196.1200	1742.0400	1.7267	0.2256	3.0080
205.6500	1772.2800	1.7733	0.2364	3.1427
215.5800	1812.2400	1.8392	0.2475	3.3331
224.9600	1760.4000	1.7585	0.2580	3.0957
234.8600	1891.0800	1.7811	0.2688	3.3682
238.4600	2125.4400	1.7639	0.2724	3.7490
238.5600	2048.7600	1.7624	0.2725	3.6108
244.1500	1990.4400	1.7092	0.2781	3.4021
247.3600	2002.3200	1.7762	0.2813	3.5566
256.2400	1915.9200	1.7281	0.2903	3.3110
258.1900	2231.2800	1.7766	0.2922	3.9641
259.3600	2061.7200	1.8021	0.2933	3.7154
265.5500	4716.0000	2.5860	0.2970	12.1956
269.9450	5420.0000	2.7410	0.2987	14.8562
272.7900	4923.0000	2.5960	0.2998	12.7801
273.1450	4917.0000	2.5620	0.2999	12.5974
276.2700	5018.0000	2.6570	0.3012	13.3328
280.5300	5351.0000	2.7330	0.3028	14.6243
282.3400	5151.0000	2.7120	0.3035	13.9695
284.2400	5691.0000	2.7150	0.3042	15.4511
292.5700	5282.0000	2.7420	0.3073	14.4832
294.4400	5103.0000	2.6420	0.3080	13.4821
296.4700	5286.0000	2.6870	0.3088	14.2035
300.0750	4534.0000	2.4890	0.3102	11.2851
302.2700	5474.0000	2.6120	0.3111	14.2981
303.2150	4474.0000	2.5430	0.3115	11.3774
