# IODP371 site U1506 physical property data
#Raw data		
depth_m_bsf	velocity_m/s	density_Mg/m3
0.0000	1514.0000	1.6700
13.8600	1514.0000	1.6768
23.6600	1608.0000	1.6661
42.4900	1606.0000	1.6630
61.6100	1622.0000	1.6596
72.1200	1588.0000	1.6944
81.1100	1659.0000	1.7409
90.8100	1624.0000	1.7081
110.6800	1612.0000	1.7294
120.6200	1561.0000	1.7100
129.3000	1668.0000	1.7345
138.6100	1605.0000	1.7181
148.3600	1613.0000	1.7418
158.1000	1634.0000	1.7490
167.4800	1635.0000	1.7263
178.4700	1628.0000	1.7677
186.6200	1699.0000	1.7703
196.1200	1613.0000	1.7267
205.6500	1641.0000	1.7733
215.5800	1678.0000	1.8392
224.9600	1630.0000	1.7585
234.8600	1751.0000	1.7811
238.4600	1968.0000	1.7639
238.5600	1897.0000	1.7624
244.1500	1843.0000	1.7092
247.3600	1854.0000	1.7762
256.2400	1774.0000	1.7281
258.1900	2066.0000	1.7766
259.3600	1909.0000	1.8021
265.5500	4716.0000	2.5860
269.9450	5420.0000	2.7410
272.7900	4923.0000	2.5960
273.1450	4917.0000	2.5620
276.2700	5018.0000	2.6570
280.5300	5351.0000	2.7330
282.3400	5151.0000	2.7120
284.2400	5691.0000	2.7150
292.5700	5282.0000	2.7420
294.4400	5103.0000	2.6420
296.4700	5286.0000	2.6870
300.0750	4534.0000	2.4890
302.2700	5474.0000	2.6120
303.2150	4474.0000	2.5430

