# IODP371 site U1510 physical property data
#Raw data		
depth_m_bsf	velocity_m/s	density_Mg/m3
0.7300	1544.0000	1.5858
2.0400	1565.0000	1.5539
3.5300	1493.0000	1.5177
4.1700	1547.0000	1.5329
6.2600	1586.0000	1.6031
6.9000	1592.0000	1.6065
7.7400	1520.0000	1.6109
9.1800	1565.0000	1.6186
10.7100	1548.0000	1.6049
11.9100	1530.0000	1.5932
12.8900	1570.0000	1.6028
14.1700	1536.0000	1.6190
15.1400	1547.0000	1.5991
16.9300	1538.0000	1.6146
18.4900	1545.0000	1.6280
19.3300	1590.0000	1.6339
20.8000	1561.0000	1.6437
22.6800	1588.0000	1.6795
23.3100	1626.0000	1.6924
25.1300	1628.0000	1.7291
26.6800	1667.0000	1.7479
28.3000	1662.0000	1.7625
29.1400	1574.0000	1.7382
31.0400	1550.0000	1.6833
32.1400	1563.0000	1.6836
32.8400	1571.0000	1.6840
34.4700	1546.0000	1.6633
36.1700	1564.0000	1.6901
37.6000	1562.0000	1.7132
38.8100	1547.0000	1.6852
40.3300	1549.0000	1.6475
41.7800	1582.0000	1.6721
42.6400	1585.0000	1.6905
43.8300	1590.0000	1.6676
45.5100	1594.0000	1.6549
46.5400	1576.0000	1.6474
48.5200	1589.0000	1.6560
49.9100	1630.0000	1.6624
51.5600	1617.0000	1.6684
52.1100	1593.0000	1.6704
53.7800	1603.0000	1.6996
54.8000	1564.0000	1.6805
56.6300	1572.0000	1.6461
57.4000	1579.0000	1.6618
59.5900	1666.0000	1.7135
60.1500	1723.0000	1.7113
60.8100	1704.0000	1.7022
61.3200	1597.0000	1.6952
62.3200	1602.0000	1.7420
63.9700	1599.0000	1.7386
65.2900	1640.0000	1.7356
66.6600	1660.0000	1.6817
68.2900	1668.0000	1.6177
69.4000	1651.0000	1.5859
70.0700	1646.0000	1.5677
72.3100	1660.0000	1.7237
73.3900	1614.0000	1.6887
74.7800	1596.0000	1.6436
76.2500	1603.0000	1.6396
77.7300	1581.0000	1.6361
79.0500	1619.0000	1.6292
80.6200	1615.0000	1.6207
81.6200	1580.0000	1.6427
82.9900	1606.0000	1.6450
84.4200	1602.0000	1.6450
85.8400	1588.0000	1.6356
87.2500	1592.0000	1.6238
88.6700	1596.0000	1.6184
90.0800	1612.0000	1.6159
91.1100	1586.0000	1.6142
92.6100	1598.0000	1.6028
93.9700	1586.0000	1.5919
95.4400	1609.0000	1.6015
96.8900	1602.0000	1.6150
98.3500	1597.0000	1.6160
99.7200	1603.0000	1.6137
100.6800	1576.0000	1.6121
102.1400	1580.0000	1.5948
103.6000	1554.0000	1.5773
105.1900	1584.0000	1.5716
106.5500	1578.0000	1.5675
108.1000	1579.0000	1.6035
109.1900	1566.0000	1.6322
110.1100	1555.0000	1.6564
111.5000	1565.0000	1.6237
112.9100	1546.0000	1.5852
114.3600	1579.0000	1.5770
115.7100	1558.0000	1.5770
117.0800	1552.0000	1.5733
118.4000	1593.0000	1.5676
119.5400	1571.0000	1.5627
121.0000	1572.0000	1.5787
122.3800	1600.0000	1.5965
123.9500	1586.0000	1.6082
125.2900	1601.0000	1.6167
126.8500	1569.0000	1.6203
128.1500	1571.0000	1.6218
129.1400	1617.0000	1.6229
130.6200	1580.0000	1.6009
132.1200	1579.0000	1.5774
133.7500	1674.0000	1.5638
138.6400	1586.0000	1.8162
140.1000	1619.0000	1.8377
141.5000	1601.0000	1.8545
142.9900	1607.0000	1.8489
144.3700	1613.0000	1.8402
145.8900	1590.0000	2.0158
147.1100	1666.0000	2.1997
168.6700	1591.0000	1.7867
169.3800	1588.0000	1.7856
177.6600	1662.0000	1.7731
179.4300	1668.0000	1.7990
180.0100	1631.0000	1.8073
186.6600	1641.0000	1.8640
205.9000	1749.0000	1.8705
207.6600	1744.0000	1.7920
274.6700	1728.0000	2.0134
303.2300	1760.0000	1.8600
311.4300	1598.0000	1.8541
313.1900	1699.0000	1.8624
314.4000	1658.0000	1.8674
315.1400	1718.0000	1.8638
321.1900	1578.0000	1.8522
322.5800	1616.0000	1.9857
330.8600	1624.0000	1.8156
331.7300	1597.0000	1.8133
340.0200	1573.0000	1.8058
341.7700	1606.0000	1.7996
343.2100	1577.0000	1.7905
343.5500	1603.0000	1.7884
344.7100	1615.0000	1.7865
352.9000	1606.0000	1.7641
354.7900	1592.0000	1.7650
355.8900	1581.0000	1.7698
359.4400	1532.0000	1.7851
369.2100	1553.0000	1.7939
370.6200	1534.0000	1.8538
371.8700	1563.0000	1.8821
373.6500	1592.0000	1.8982
374.7500	1598.0000	1.9081
378.9600	1550.0000	1.8770
380.3600	1587.0000	1.8550
382.0600	1584.0000	1.8410
383.2400	1580.0000	1.8444
385.1400	1592.0000	1.8498
385.9600	1618.0000	1.8321
388.0400	1548.0000	1.7902
397.6500	1569.0000	1.8359
399.0200	1577.0000	1.8500
407.2200	1594.0000	1.9432
408.8600	1661.0000	1.8906
410.1400	1570.0000	1.8778
411.1500	1669.0000	1.8676
417.1900	1749.0000	1.8491
417.9400	1748.0000	1.8814
419.2500	1721.0000	1.9272
429.0600	1683.0000	1.8557
430.0900	1719.0000	1.8830
435.6300	1647.0000	1.8831
437.0800	1705.0000	1.8937
437.7600	1652.0000	1.8987
438.1200	1713.0000	1.9015
445.8800	1769.0000	1.9844
447.6400	1683.0000	1.8885
448.2600	1693.0000	1.8548
450.4700	1666.0000	1.9833
451.0800	1637.0000	2.0527
454.9200	1639.0000	1.9055
457.4700	1660.0000	1.8865
458.1900	1673.0000	1.8867
459.4200	1707.0000	1.8869
459.8100	1805.0000	1.8876
464.3500	1688.0000	1.9558
466.3200	1769.0000	1.9513
468.0200	1722.0000	1.9274
468.3400	1759.0000	1.9345
473.8700	1763.0000	2.0569
475.1000	1908.0000	2.0746
475.9000	1947.0000	2.0771
477.1600	1952.0000	2.0810
477.6100	1960.0000	2.0824
478.1800	1987.0000	2.0833
