# IODP371 site U1509 physical property data
#Raw data		
depth_m_bsf	velocity_m/s	density_Mg/m3
0.0000	1700.0000	1.5600
0.1500	1637.0000	1.5465
1.0300	1525.0000	1.5881
10.0200	1616.0000	1.7970
20.4000	1537.0000	1.6558
30.1000	1538.0000	1.6092
33.1000	1575.0000	1.6391
49.0000	1624.0000	1.6651
51.8200	1789.0000	1.6860
52.0000	1658.0000	1.6871
60.0400	1764.0000	1.6474
69.1900	1717.0000	1.6248
70.7800	1652.0000	1.6165
78.3600	1792.0000	1.5767
80.9700	1785.0000	1.6314
81.8900	1765.0000	1.6481
87.9200	1967.0000	1.6613
89.0900	1889.0000	1.6467
97.0000	1717.0000	1.5816
99.9800	1668.0000	1.6233
103.0400	1698.0000	1.6222
109.8200	1744.0000	1.6092
112.9300	1657.0000	1.6271
116.0500	1666.0000	1.6132
119.1400	1649.0000	1.6110
121.7200	1735.0000	1.6550
125.9000	1684.0000	1.6235
129.5000	1652.0000	1.8309
131.8000	1673.0000	1.6388
135.3200	1858.0000	1.7291
139.1900	1829.0000	1.8473
141.1200	1700.0000	1.7448
143.6100	1725.0000	1.7130
144.8700	1653.0000	1.7261
146.0600	1706.0000	1.7354
148.4400	1713.0000	1.7449
154.3600	1718.0000	1.7630
157.3100	1709.0000	1.7601
160.6000	1692.0000	1.7609
164.1700	1765.0000	1.7803
165.4600	1822.0000	1.8480
173.8000	1806.0000	1.8086
176.5500	1706.0000	1.7801
177.1100	1774.0000	1.7810
183.5100	1806.0000	1.8470
185.4800	1872.0000	1.8339
193.8600	1782.0000	1.8003
193.9600	1744.0000	1.8014
196.0500	1890.0000	1.8261
203.2500	1776.0000	1.7524
204.3100	1748.0000	1.7353
207.4000	1868.0000	1.7782
210.2800	1783.0000	1.7921
212.4200	1845.0000	1.7406
213.6400	1869.0000	1.8108
221.3700	1779.0000	1.7552
223.9400	1856.0000	1.7280
227.4600	1854.0000	1.8022
229.2300	1817.0000	1.8468
231.2900	1845.0000	1.8270
233.2400	1826.0000	1.7703
241.4600	2008.0000	1.8851
244.3800	1866.0000	1.7908
247.0900	1839.0000	1.8450
250.2100	1863.0000	1.9071
255.5400	1724.0000	1.7811
258.3900	1847.0000	1.7663
260.2500	1889.0000	1.8624
263.1200	1837.0000	1.7978
265.7400	1801.0000	1.7695
269.4300	1881.0000	1.7232
272.3000	1965.0000	1.8155
275.2900	1813.0000	1.7603
279.1200	1748.0000	1.6756
282.2300	1759.0000	1.6815
285.2600	1773.0000	1.7247
289.7900	1878.0000	1.7901
290.8000	1913.0000	1.8435
291.5500	1879.0000	1.8619
292.8200	1922.0000	1.8597
294.2900	1872.0000	1.8446
295.0700	1905.0000	1.8336
296.4700	1926.0000	1.7885
298.2500	1977.0000	1.7059
300.1800	1998.0000	1.7618
300.9800	1898.0000	1.7803
302.9900	1812.0000	1.7132
304.2000	1802.0000	1.6693
307.9300	1855.0000	1.7820
311.1200	1922.0000	1.8614
313.3600	1985.0000	1.8852
317.9500	1808.0000	1.7464
320.9000	1767.0000	1.7262
323.9800	1853.0000	1.8343
327.5600	1786.0000	1.8870
330.4800	1851.0000	1.8075
333.6200	1785.0000	1.7591
336.0900	1681.0000	1.7964
337.2400	1806.0000	1.7013
340.1300	1817.0000	1.7448
343.1900	1778.0000	1.8119
346.9300	1777.0000	1.7820
349.7100	1780.0000	1.6636
356.5600	1874.0000	1.7693
359.1300	1750.0000	1.8884
361.0600	1852.0000	1.8203
366.0900	1825.0000	1.7032
368.7700	1813.0000	1.7362
375.1300	1881.0000	1.8380
378.3800	1779.0000	1.8111
380.5500	1726.0000	1.7932
381.0900	1802.0000	1.7746
384.3600	1756.0000	1.6886
385.5400	1750.0000	1.8120
385.8400	1835.0000	1.8528
386.9400	1974.0000	1.9968
387.6200	2362.0000	2.0576
388.3900	2188.0000	2.0808
388.9400	2165.0000	2.0733
389.7600	1942.0000	2.0404
390.0900	2029.0000	2.0239
391.0500	2106.0000	1.9820
391.7300	2159.0000	1.9705
392.0800	2015.0000	1.9728
392.9400	2042.0000	2.0022
394.7500	2177.0000	2.1145
395.8500	2368.0000	2.1701
397.2800	2183.0000	2.1947
403.6100	2426.0000	2.0023
403.9700	2394.0000	2.0205
404.8000	2455.0000	2.2134
406.3900	2424.0000	1.9680
406.7500	2472.0000	1.9379
413.9100	2380.0000	1.9252
415.2900	1970.0000	1.9091
415.8200	1986.0000	1.9102
416.6600	1983.0000	1.9260
417.2900	2217.0000	1.9480
418.1500	2420.0000	1.9900
422.6400	2016.0000	1.9620
423.3400	2042.0000	1.8641
424.8600	1864.0000	1.9020
432.2200	1819.0000	1.7847
