# IODP371 site U1509 seismic and synthetic trace data
time_series_(ms)	synthetic_trace_data_(amplitude)	seismic_trace_data_(amplitude)
3800.0000	0.7691	0.1020
3801.0000	0.3977	0.1009
3802.0000	-0.0134	0.0284
3803.0000	-0.3686	-0.0713
3804.0000	-0.5884	-0.1405
3805.0000	-0.6285	-0.1473
3806.0000	-0.4896	-0.1038
3807.0000	-0.2169	-0.0508
3808.0000	0.1115	-0.0257
3809.0000	0.4032	-0.0358
3810.0000	0.5737	-0.0615
3811.0000	0.5670	-0.0679
3812.0000	0.3702	-0.0426
3813.0000	0.0167	0.0008
3814.0000	-0.4203	0.0374
3815.0000	-0.8448	0.0500
3816.0000	-1.1589	0.0389
3817.0000	-1.2839	0.0197
3818.0000	-1.1787	0.0135
3819.0000	-0.8494	0.0334
3820.0000	-0.3482	0.0774
3821.0000	0.2375	0.1276
3822.0000	0.8038	0.1649
3823.0000	1.2517	0.1822
3824.0000	1.5057	0.1864
3825.0000	1.5274	0.1898
3826.0000	1.3222	0.1940
3827.0000	0.9362	0.1847
3828.0000	0.4453	0.1430
3829.0000	-0.0608	0.0669
3830.0000	-0.4974	-0.0243
3831.0000	-0.7997	-0.0982
3832.0000	-0.9333	-0.1460
3833.0000	-0.8971	-0.1857
3834.0000	-0.7212	-0.2416
3835.0000	-0.4578	-0.3139
3836.0000	-0.1702	-0.3715
3837.0000	0.0815	-0.3771
3838.0000	0.2519	-0.3216
3839.0000	0.3186	-0.2365
3840.0000	0.2852	-0.1719
3841.0000	0.1788	-0.1608
3842.0000	0.0431	-0.1979
3843.0000	-0.0729	-0.2528
3844.0000	-0.1270	-0.2936
3845.0000	-0.0957	-0.3020
3846.0000	0.0181	-0.2770
3847.0000	0.1833	-0.2313
3848.0000	0.3459	-0.1848
3849.0000	0.4409	-0.1468
3850.0000	0.4093	-0.1040
3851.0000	0.2155	-0.0094
3852.0000	-0.1376	0.1688
3853.0000	-0.6013	0.4053
3854.0000	-1.0859	0.6197
3855.0000	-1.4765	0.7388
3856.0000	-1.6581	0.7665
3857.0000	-1.5449	0.7867
3858.0000	-1.1063	0.8830
3859.0000	-0.3829	1.0507
3860.0000	0.5136	1.1723
3861.0000	1.4182	1.1537
3862.0000	2.1473	1.0373
3863.0000	2.5405	0.9787
3864.0000	2.5024	1.0782
3865.0000	2.0313	1.2327
3866.0000	1.2263	1.1888
3867.0000	0.2686	0.7929
3868.0000	-0.6201	0.2165
3869.0000	-1.2336	-0.1443
3870.0000	-1.4371	0.1213
3871.0000	-1.2067	0.6968
3872.0000	-0.6444	0.7136
3873.0000	0.0407	-0.7116
3874.0000	0.5827	-3.7358
3875.0000	0.7295	-7.4110
3876.0000	0.3172	-10.0897
3877.0000	-0.6736	-10.4078
3878.0000	-2.0938	-8.1626
3879.0000	-3.6456	-4.4227
3880.0000	-4.9421	-0.8540
3881.0000	-5.5954	1.3938
3882.0000	-5.3118	2.4575
3883.0000	-3.9688	3.3184
3884.0000	-1.6722	4.8489
3885.0000	1.2551	7.0321
3886.0000	4.3294	8.9481
3887.0000	7.0051	9.5114
3888.0000	8.7885	8.3423
3889.0000	9.3433	6.0167
3890.0000	8.5619	3.8206
3891.0000	6.5883	2.6074
3892.0000	3.7851	2.2422
3893.0000	0.6645	1.8986
3894.0000	-2.2263	0.7795
3895.0000	-4.4204	-1.3013
3896.0000	-5.6223	-3.8531
3897.0000	-5.7577	-6.0896
3898.0000	-4.9704	-7.3763
3899.0000	-3.5726	-7.4565
3900.0000	-1.9607	-6.5102
3901.0000	-0.5182	-4.8427
3902.0000	0.4713	-2.8505
3903.0000	0.8788	-1.0127
3904.0000	0.7432	0.2045
3905.0000	0.2416	0.5586
3906.0000	-0.3720	0.2019
3907.0000	-0.8424	-0.3702
3908.0000	-0.9826	-0.6137
3909.0000	-0.7212	-0.2784
3910.0000	-0.1157	0.4785
3911.0000	0.6693	1.2297
3912.0000	1.4119	1.6442
3913.0000	1.8960	1.7164
3914.0000	1.9720	1.7042
3915.0000	1.5951	1.8422
3916.0000	0.8363	2.0915
3917.0000	-0.1349	2.1508
3918.0000	-1.0935	1.7271
3919.0000	-1.8159	0.8167
3920.0000	-2.1343	-0.1630
3921.0000	-1.9776	-0.7428
3922.0000	-1.3862	-0.6828
3923.0000	-0.4986	-0.1684
3924.0000	0.4854	0.3444
3925.0000	1.3525	0.4912
3926.0000	1.9254	0.2680
3927.0000	2.1028	-0.0156
3928.0000	1.8784	-0.0410
3929.0000	1.3356	0.2349
3930.0000	0.6214	0.5485
3931.0000	-0.0956	0.5990
3932.0000	-0.6660	0.3043
3933.0000	-0.9938	-0.1351
3934.0000	-1.0562	-0.4403
3935.0000	-0.9024	-0.5197
3936.0000	-0.6347	-0.5495
3937.0000	-0.3753	-0.7966
3938.0000	-0.2316	-1.3456
3939.0000	-0.2670	-1.9766
3940.0000	-0.4845	-2.2910
3941.0000	-0.8267	-2.0156
3942.0000	-1.1926	-1.1867
3943.0000	-1.4645	-0.1160
3944.0000	-1.5397	0.8342
3945.0000	-1.3564	1.4662
3946.0000	-0.9099	1.7884
3947.0000	-0.2532	1.8853
3948.0000	0.5137	1.7683
3949.0000	1.2663	1.3845
3950.0000	1.8833	0.6548
3951.0000	2.2708	-0.2041
3952.0000	2.3794	-0.8520
3953.0000	2.2096	-1.0116
3954.0000	1.8063	-0.6842
3955.0000	1.2457	-0.1676
3956.0000	0.6196	0.1612
3957.0000	0.0169	0.1385
3958.0000	-0.4912	-0.0601
3959.0000	-0.8583	-0.1010
3960.0000	-1.0648	0.2554
3961.0000	-1.1146	0.7810
3962.0000	-1.0291	1.0022
3963.0000	-0.8423	0.5709
3964.0000	-0.5950	-0.4049
3965.0000	-0.3309	-1.3869
3966.0000	-0.0934	-1.7868
3967.0000	0.0779	-1.4090
3968.0000	0.1520	-0.5990
3969.0000	0.1115	0.0403
3970.0000	-0.0414	0.0878
3971.0000	-0.2818	-0.3242
3972.0000	-0.5619	-0.6707
3973.0000	-0.8163	-0.4980
3974.0000	-0.9725	0.1961
3975.0000	-0.9664	0.9707
3976.0000	-0.7583	1.3205
3977.0000	-0.3455	1.0872
3978.0000	0.2328	0.5632
3979.0000	0.8973	0.2228
3980.0000	1.5402	0.3261
3981.0000	2.0434	0.7351
3982.0000	2.3034	1.0569
3983.0000	2.2542	1.0016
3984.0000	1.8835	0.5988
3985.0000	1.2389	0.1199
3986.0000	0.4196	-0.1809
3987.0000	-0.4403	-0.2619
3988.0000	-1.1956	-0.2743
3989.0000	-1.7178	-0.3828
3990.0000	-1.9211	-0.6223
3991.0000	-1.7792	-0.8796
3992.0000	-1.3311	-1.0338
3993.0000	-0.6717	-1.0595
3994.0000	0.0667	-1.0133
3995.0000	0.7385	-0.9377
3996.0000	1.2136	-0.8000
3997.0000	1.4028	-0.5312
3998.0000	1.2750	-0.1214
3999.0000	0.8610	0.3346
4000.0000	0.2462	0.6769
4001.0000	-0.4478	0.8028
4002.0000	-1.0878	0.7477
4003.0000	-1.5553	0.6381
4004.0000	-1.7691	0.5788
4005.0000	-1.6990	0.5751
4006.0000	-1.3719	0.5550
4007.0000	-0.8641	0.4584
4008.0000	-0.2824	0.3050
4009.0000	0.2597	0.1712
4010.0000	0.6670	0.1372
4011.0000	0.8820	0.1734
4012.0000	0.8953	0.1702
4013.0000	0.7437	0.0271
4014.0000	0.4990	-0.2622
4015.0000	0.2485	-0.6044
4016.0000	0.0717	-0.8731
4017.0000	0.0193	-0.9872
4018.0000	0.1000	-0.9374
4019.0000	0.2786	-0.7512
4020.0000	0.4855	-0.4882
4021.0000	0.6348	-0.1791
4022.0000	0.6491	0.1172
