# IODP371 site U1511 seismic and synthetic trace data
#Synthetic seismogram and seismic trace data.		
time_series_(ms)	synthetic_trace_data_(amplitude)	seismic_trace_data_(amplitude)
6210.0000	0.0000	-0.0013
6211.0000	0.0000	-0.0013
6212.0000	0.0000	-0.0008
6213.0000	0.0000	0.0000
6214.0000	0.0000	0.0007
6215.0000	0.0000	0.0011
6216.0000	0.0000	0.0011
6217.0000	0.0000	0.0005
6218.0000	0.0000	-0.0003
6219.0000	0.0000	-0.0012
6220.0000	0.0000	-0.0019
6221.0000	0.0000	-0.0019
6222.0000	0.0000	-0.0013
6223.0000	0.0000	0.0000
6224.0000	0.0000	0.0017
6225.0000	0.0000	0.0034
6226.0000	0.0000	0.0047
6227.0000	0.0000	0.0050
6228.0000	0.0000	0.0042
6229.0000	0.0000	0.0023
6230.0000	0.0000	-0.0005
6231.0000	0.0000	-0.0036
6232.0000	0.0000	-0.0064
6233.0000	0.0000	-0.0083
6234.0000	0.0000	-0.0087
6235.0000	-0.0590	-0.0076
6236.0000	-0.0835	-0.0050
6237.0000	-0.1010	-0.0013
6238.0000	-0.1060	0.0026
6239.0000	-0.0965	0.0060
6240.0000	-0.0735	0.0081
6241.0000	-0.0423	0.0084
6242.0000	-0.0099	0.0070
6243.0000	0.0175	0.0040
6244.0000	0.0369	0.0002
6245.0000	0.0491	-0.0037
6246.0000	0.0560	-0.0069
6247.0000	0.0575	-0.0086
6248.0000	0.0530	-0.0085
6249.0000	0.0415	-0.0066
6250.0000	0.0258	-0.0034
6251.0000	0.0110	0.0004
6252.0000	0.0009	0.0040
6253.0000	-0.0078	0.0067
6254.0000	-0.0190	0.0080
6255.0000	-0.0339	0.0076
6256.0000	-0.0470	0.0059
6257.0000	-0.0490	0.0033
6258.0000	-0.0348	0.0005
6259.0000	-0.0075	-0.0018
6260.0000	0.0230	-0.0032
6261.0000	0.0474	-0.0033
6262.0000	0.0615	-0.0024
6263.0000	0.0695	-0.0009
6264.0000	0.0730	0.0006
6265.0000	0.0725	0.0015
6266.0000	0.0630	0.0015
6267.0000	0.0434	0.0006
6268.0000	0.0161	-0.0011
6269.0000	-0.0122	-0.0031
6270.0000	-0.0349	-0.0047
6271.0000	-0.0491	-0.0052
6272.0000	-0.0550	-0.0044
6273.0000	-0.0555	-0.0022
6274.0000	-0.0525	0.0009
6275.0000	-0.0452	0.0043
6276.0000	-0.0310	0.0070
6277.0000	-0.0091	0.0081
6278.0000	0.0173	0.0071
6279.0000	0.0398	0.0039
6280.0000	0.0495	-0.0009
6281.0000	0.0428	-0.0065
6282.0000	0.0251	-0.0116
6283.0000	0.0055	-0.0150
6284.0000	-0.0065	-0.0157
6285.0000	-0.0107	-0.0132
6286.0000	-0.0140	-0.0077
6287.0000	-0.0234	-0.0003
6288.0000	-0.0389	0.0077
6289.0000	-0.0545	0.0145
6290.0000	-0.0630	0.0188
6291.0000	-0.0645	0.0196
6292.0000	-0.0645	0.0167
6293.0000	-0.0655	0.0104
6294.0000	-0.0680	0.0022
6295.0000	-0.0650	-0.0063
6296.0000	-0.0490	-0.0132
6297.0000	-0.0179	-0.0171
6298.0000	0.0226	-0.0171
6299.0000	0.0625	-0.0133
6300.0000	0.0930	-0.0065
6301.0000	0.1095	0.0017
6302.0000	0.1140	0.0096
6303.0000	0.1045	0.0154
6304.0000	0.0880	0.0179
6305.0000	0.0695	0.0166
6306.0000	0.0540	0.0120
6307.0000	0.0414	0.0052
6308.0000	0.0297	-0.0021
6309.0000	0.0157	-0.0082
6310.0000	-0.0001	-0.0119
6311.0000	-0.0132	-0.0125
6312.0000	-0.0187	-0.0103
6313.0000	-0.0128	-0.0062
6314.0000	-0.0018	-0.0017
6315.0000	0.0067	0.0017
6316.0000	0.0084	0.0028
6317.0000	0.0046	0.0013
6318.0000	-0.0018	-0.0025
6319.0000	-0.0118	-0.0073
6320.0000	-0.0304	-0.0115
6321.0000	-0.0610	-0.0134
6322.0000	-0.1005	-0.0116
6323.0000	-0.1315	-0.0060
6324.0000	-0.1425	0.0027
6325.0000	-0.1280	0.0126
6326.0000	-0.0935	0.0214
6327.0000	-0.0515	0.0263
6328.0000	-0.0125	0.0256
6329.0000	0.0196	0.0185
6330.0000	0.0453	0.0060
6331.0000	0.0655	-0.0097
6332.0000	0.0805	-0.0248
6333.0000	0.0840	-0.0358
6334.0000	0.0785	-0.0393
6335.0000	0.0680	-0.0336
6336.0000	0.0550	-0.0188
6337.0000	0.0393	0.0029
6338.0000	0.0209	0.0274
6339.0000	0.0016	0.0494
