# IODP371 site U1507 synthetic model data
#Synthetic model				
depth_m_bsf	velocity_m/s	density_Mg/m3	two-way-travel-time_(ms)	impedance
0.0000	1600.0000	1.5500	0.0000	2.4800
0.1300	1602.3773	1.5150	0.0002	2.4276
5.5200	1609.9801	1.6070	0.0069	2.5872
6.9100	1614.9905	1.5920	0.0086	2.5711
16.3300	1664.0263	1.5760	0.0201	2.6225
25.7400	1724.7888	1.6780	0.0312	2.8942
25.7400	1736.7888	1.6780	0.0312	2.9143
36.0100	1726.7239	1.7040	0.0431	2.9423
36.0100	1756.7239	1.7040	0.0431	2.9935
46.9100	1796.1283	1.7220	0.0553	3.0929
46.9100	1803.1283	1.7220	0.0553	3.1050
55.3500	1793.4591	1.7220	0.0647	3.0883
55.3500	1792.4591	1.7220	0.0647	3.0866
64.1700	1860.6467	1.6990	0.0744	3.1612
72.5348	1847.4390	1.5916	0.0834	2.9404
72.6872	1807.1460	1.5945	0.0836	2.8816
72.8396	1768.8330	1.6015	0.0837	2.8327
72.9920	1758.8340	1.6085	0.0839	2.8290
73.1444	1757.5470	1.6196	0.0841	2.8466
73.2968	1751.8050	1.6301	0.0843	2.8556
73.4492	1748.4390	1.6354	0.0844	2.8593
73.6016	1766.3580	1.6381	0.0846	2.8934
73.7540	1804.7700	1.6528	0.0848	2.9830
73.9064	1818.9270	1.6532	0.0849	3.0071
74.0588	1837.8360	1.6543	0.0851	3.0403
74.2112	1818.9270	1.6490	0.0853	2.9993
74.3636	1808.5320	1.6475	0.0854	2.9796
74.5160	1790.0190	1.6477	0.0856	2.9494
74.6684	1802.4930	1.6436	0.0858	2.9626
74.8208	1759.9230	1.6507	0.0860	2.9050
74.9732	1752.2010	1.6570	0.0861	2.9034
75.1256	1750.7160	1.6672	0.0863	2.9188
75.2780	1741.1130	1.6671	0.0865	2.9026
75.4304	1736.2620	1.6780	0.0866	2.9135
75.5828	1735.1730	1.6739	0.0868	2.9044
75.7352	1738.1430	1.6679	0.0870	2.8990
75.8876	1740.9150	1.6677	0.0872	2.9032
76.0400	1743.5880	1.6680	0.0874	2.9083
76.1924	1744.1820	1.6673	0.0875	2.9081
76.3448	1747.1520	1.6517	0.0877	2.8858
76.4972	1748.1420	1.6323	0.0879	2.8535
76.6496	1745.6670	1.6173	0.0880	2.8233
76.8020	1745.9640	1.6148	0.0882	2.8193
76.9544	1743.6870	1.6151	0.0884	2.8162
77.1068	1739.9250	1.6184	0.0886	2.8158
77.2592	1738.0440	1.6162	0.0887	2.8090
77.4116	1736.7570	1.6181	0.0889	2.8102
77.5640	1735.3710	1.6402	0.0891	2.8463
