# IODP371 site U1507 physical property data
#Raw data		
depth_m_bsf	velocity_m/s	density_Mg/m3
0.0000	1600.0000	1.5500
0.1300	1.6022	1.5150
5.5200	1.6024	1.6070
6.9100	1.6056	1.5920
16.3300	1.6420	1.5760
25.7400	1.6904	1.6780
25.7400	1.7024	1.6780
36.0100	1.6791	1.7040
36.0100	1.7091	1.7040
46.9100	1.7348	1.7220
46.9100	1.7418	1.7220
55.3500	1.7217	1.7220
55.3500	1.7207	1.7220
64.1700	1.7782	1.6990
72.5348	1.8661	1.5916
72.6872	1.8254	1.5945
72.8396	1.7867	1.6015
72.9920	1.7766	1.6085
73.1444	1.7753	1.6196
73.2968	1.7695	1.6301
73.4492	1.7661	1.6354
73.6016	1.7842	1.6381
73.7540	1.8230	1.6528
73.9064	1.8373	1.6532
74.0588	1.8564	1.6543
74.2112	1.8373	1.6490
74.3636	1.8268	1.6475
74.5160	1.8081	1.6477
74.6684	1.8207	1.6436
74.8208	1.7777	1.6507
74.9732	1.7699	1.6570
75.1256	1.7684	1.6672
75.2780	1.7587	1.6671
75.4304	1.7538	1.6780
75.5828	1.7527	1.6739
75.7352	1.7557	1.6679
75.8876	1.7585	1.6677
76.0400	1.7612	1.6680
76.1924	1.7618	1.6673
76.3448	1.7648	1.6517
76.4972	1.7658	1.6323
76.6496	1.7633	1.6173
76.8020	1.7636	1.6148
76.9544	1.7613	1.6151
77.1068	1.7575	1.6184
77.2592	1.7556	1.6162
77.4116	1.7543	1.6181
77.5640	1.7529	1.6402
77.7164	1.7520	1.6621
77.8688	1.7514	1.6720
78.0212	1.7538	1.6726
78.1736	1.7536	1.6811
78.3260	1.7437	1.6879
78.4784	1.7333	1.6976
78.6308	1.7328	1.7120
78.7832	1.7377	1.7267
78.9356	1.7405	1.7319
79.0880	1.7419	1.7341
79.2404	1.7404	1.7254
79.3928	1.7390	1.7141
79.5452	1.7391	1.7015
79.6976	1.7399	1.6920
79.8500	1.7455	1.6943
80.0024	1.7496	1.6930
80.1548	1.7497	1.6860
80.3072	1.7497	1.6788
80.4596	1.7497	1.6712
80.6120	1.7478	1.6562
80.7644	1.7446	1.6460
80.9168	1.7375	1.6427
81.0692	1.7309	1.6517
81.2216	1.7232	1.6537
81.3740	1.7095	1.6529
81.5264	1.7007	1.6479
81.6788	1.7230	1.6490
81.8312	1.7327	1.6500
81.9836	1.7219	1.6551
82.1360	1.7111	1.6616
82.2884	1.7016	1.6722
82.4408	1.6982	1.6747
82.5932	1.6980	1.6707
82.7456	1.7062	1.6734
82.8980	1.7053	1.6828
83.0504	1.7011	1.6934
